index,fitness,size,has_meta
0,0.716000,339,1
1,0.706300,173,1
2,0.706300,252,1
3,0.706300,168,1
4,0.706300,204,1
5,0.706300,176,1
6,0.709400,163,1
7,0.706300,172,1
8,0.706300,178,1
9,0.706300,167,1
10,0.706300,183,1
11,0.709400,164,1
12,0.706300,173,1
13,0.706300,262,1
14,0.706300,187,1
15,0.706300,182,1
16,0.706300,180,1
17,0.706300,174,1
18,0.706300,171,1
19,0.706300,184,1
20,0.706300,168,1
21,0.706300,139,1
22,0.706300,288,1
23,0.706300,174,1
24,0.711600,180,1
25,0.706300,213,1
26,0.706300,186,1
27,0.706300,217,1
28,0.706300,186,1
29,0.706300,307,1
30,0.706300,169,1
31,0.706300,139,1
32,0.706300,181,1
33,0.709100,445,1
34,0.706300,211,1
35,0.706300,211,1
36,0.706300,173,1
37,0.711600,180,1
38,0.706300,194,1
39,0.706300,244,1
40,0.706300,365,1
41,0.711600,184,1
42,0.706300,297,1
43,0.706300,306,1
44,0.706300,306,1
45,0.706300,364,1
46,0.706300,183,1
47,0.706300,171,1
48,0.706300,168,1
49,0.706300,191,1
50,0.706300,188,1
51,0.716000,339,1
52,0.706300,183,1
53,0.706300,287,1
54,0.706300,295,1
55,0.706300,169,1
56,0.706300,175,1
57,0.706300,181,1
58,0.706300,201,1
59,0.706300,298,1
60,0.706300,188,1
61,0.709100,449,1
62,0.704100,167,1
63,0.706300,193,1
64,0.704100,167,1
65,0.706300,245,1
66,0.709400,160,1
67,0.706300,139,1
68,0.706300,306,1
69,0.706300,139,1
70,0.706300,213,1
71,0.706300,187,1
72,0.706300,239,1
73,0.706300,167,1
74,0.706300,189,1
75,0.706300,302,1
76,0.674700,190,1
77,0.706300,173,1
78,0.706300,168,1
79,0.706300,224,1
80,0.706300,185,1
81,0.706300,129,1
82,0.706300,287,1
83,0.706300,301,1
84,0.706300,204,1
85,0.711600,180,1
86,0.706300,296,1
87,0.706300,211,1
88,0.706300,174,1
89,0.706300,183,1
90,0.706300,295,1
91,0.706300,295,1
92,0.706300,224,1
93,0.706300,175,1
94,0.706300,168,1
95,0.706300,186,1
96,0.706300,210,1
97,0.706300,306,1
98,0.706300,193,1
99,0.706300,218,1
