index,fitness,size,has_meta
0,0.721500,562,1
1,0.716000,354,1
2,0.721500,562,1
3,0.706300,344,1
4,0.704700,213,1
5,0.706300,344,1
6,0.706300,347,1
7,0.706300,348,1
8,0.709100,422,1
9,0.706300,382,1
10,0.706300,219,1
11,0.706300,183,1
12,0.706300,243,1
13,0.706300,345,1
14,0.706300,344,1
15,0.716000,529,1
16,0.706300,216,1
17,0.706300,126,1
18,0.721500,558,1
19,0.706300,213,1
20,0.706300,380,1
21,0.706300,217,1
22,0.706300,248,1
23,0.706300,382,1
24,0.706300,434,1
25,0.706300,563,1
26,0.706300,228,1
27,0.706300,126,1
28,0.706300,121,1
29,0.706300,239,1
30,0.716000,346,1
31,0.709100,421,1
32,0.706300,574,1
33,0.709100,429,1
34,0.706300,380,1
35,0.706300,248,1
36,0.706300,380,1
37,0.706300,380,1
38,0.706300,347,1
39,0.706300,217,1
40,0.706300,182,1
41,0.706300,217,1
42,0.706300,164,1
43,0.721500,562,1
44,0.706300,220,1
45,0.706300,224,1
46,0.706300,224,1
47,0.706300,223,1
48,0.706300,217,1
49,0.706300,384,1
50,0.706300,385,1
51,0.706300,388,1
52,0.709100,392,1
53,0.709100,433,1
54,0.706300,228,1
55,0.706300,434,1
56,0.706300,132,1
57,0.706300,311,1
58,0.706300,239,1
59,0.706300,570,1
60,0.706300,365,1
61,0.711600,208,1
62,0.704100,128,1
63,0.721500,563,1
64,0.721500,563,1
65,0.706300,380,1
66,0.706300,375,1
67,0.706300,570,1
68,0.706300,344,1
69,0.716000,529,1
70,0.706300,324,1
71,0.706300,218,1
72,0.716000,342,1
73,0.706300,221,1
74,0.716000,349,1
75,0.706300,349,1
76,0.706300,380,1
77,0.706300,380,1
78,0.721500,558,1
79,0.706300,384,1
80,0.706300,215,1
81,0.706300,434,1
82,0.706300,581,1
83,0.709100,441,1
84,0.706300,368,1
85,0.716000,343,1
86,0.709100,422,1
87,0.706300,228,1
88,0.706300,349,1
89,0.706300,389,1
90,0.704700,154,1
91,0.706300,380,1
92,0.706300,375,1
93,0.721500,561,1
94,0.709100,420,1
95,0.721500,563,1
96,0.706300,384,1
97,0.706300,382,1
98,0.721500,562,1
99,0.706300,402,1
