index,fitness,size,has_meta
0,0.721500,562,1
1,0.706300,497,1
2,0.706300,374,1
3,0.714400,853,1
4,0.709100,692,1
5,0.716000,751,1
6,0.714400,971,1
7,0.714400,693,1
8,0.706300,410,1
9,0.706300,386,1
10,0.714400,959,1
11,0.714400,1526,1
12,0.706300,399,1
13,0.709100,751,1
14,0.714400,1047,1
15,0.706300,364,1
16,0.706300,374,1
17,0.709100,410,1
18,0.709100,647,1
19,0.709100,929,1
20,0.709100,880,1
21,0.714400,1047,1
22,0.706300,408,1
23,0.706300,469,1
24,0.706300,282,1
25,0.706300,282,1
26,0.714400,1048,1
27,0.706300,402,1
28,0.709100,411,1
29,0.709100,704,1
30,0.706300,410,1
31,0.706300,367,1
32,0.709100,633,1
33,0.709100,754,1
34,0.714400,1519,1
35,0.714400,952,1
36,0.721500,556,1
37,0.706300,360,1
38,0.706300,362,1
39,0.709100,634,1
40,0.714400,1526,1
41,0.706300,418,1
42,0.714400,693,1
43,0.709100,412,1
44,0.706300,410,1
45,0.714400,971,1
46,0.709100,634,1
47,0.706300,399,1
48,0.706300,399,1
49,0.721500,556,1
50,0.714400,1164,1
51,0.716000,750,1
52,0.706300,472,1
53,0.706300,418,1
54,0.714400,1424,1
55,0.714400,1521,1
56,0.714400,2064,1
57,0.709100,747,1
58,0.714400,971,1
59,0.706300,382,1
60,0.709100,747,1
61,0.714400,1096,1
62,0.706300,387,1
63,0.709100,1231,1
64,0.706300,410,1
65,0.706300,282,1
66,0.714400,971,1
67,0.714400,1032,1
68,0.716000,742,1
69,0.709100,634,1
70,0.706300,478,1
71,0.709100,747,1
72,0.709100,692,1
73,0.706300,408,1
74,0.709100,758,1
75,0.709100,412,1
76,0.714400,691,1
77,0.709100,412,1
78,0.709100,402,1
79,0.706300,381,1
80,0.714400,705,1
81,0.714400,705,1
82,0.709100,997,1
83,0.709100,414,1
84,0.714400,689,1
85,0.709100,704,1
86,0.706300,408,1
87,0.706300,469,1
88,0.706300,402,1
89,0.706300,371,1
90,0.709100,413,1
91,0.714400,859,1
92,0.709100,1231,1
93,0.714400,951,1
94,0.716000,750,1
95,0.714400,1214,1
96,0.706300,399,1
97,0.709100,692,1
98,0.714400,848,1
99,0.709100,409,1
