index,fitness,size,has_meta
0,0.721500,562,1
1,0.706300,239,1
2,0.706300,218,1
3,0.716000,338,1
4,0.704100,215,1
5,0.706300,218,1
6,0.706300,365,1
7,0.706300,581,1
8,0.706300,312,1
9,0.706300,392,1
10,0.706300,232,1
11,0.706300,392,1
12,0.704100,340,1
13,0.721500,563,1
14,0.706300,223,1
15,0.711600,208,1
16,0.721500,561,1
17,0.706300,224,1
18,0.706300,434,1
19,0.706300,344,1
20,0.706300,380,1
21,0.709100,425,1
22,0.706300,215,1
23,0.706300,228,1
24,0.709100,392,1
25,0.706300,126,1
26,0.706300,344,1
27,0.706300,228,1
28,0.706300,248,1
29,0.706300,312,1
30,0.709100,422,1
31,0.706300,243,1
32,0.716000,349,1
33,0.706300,171,1
34,0.706300,345,1
35,0.706300,324,1
36,0.706300,574,1
37,0.706300,344,1
38,0.706300,372,1
39,0.716000,354,1
40,0.706300,385,1
41,0.716000,563,1
42,0.716000,323,1
43,0.706300,571,1
44,0.706300,224,1
45,0.706300,374,1
46,0.706300,213,1
47,0.706300,389,1
48,0.706300,399,1
49,0.706300,344,1
50,0.706300,182,1
51,0.706300,228,1
52,0.706300,378,1
53,0.706300,392,1
54,0.709100,437,1
55,0.706300,325,1
56,0.706300,346,1
57,0.706300,239,1
58,0.706300,232,1
59,0.706300,380,1
60,0.706300,380,1
61,0.706300,369,1
62,0.706300,368,1
63,0.706300,383,1
64,0.721500,555,1
65,0.706300,384,1
66,0.706300,223,1
67,0.706300,434,1
68,0.706300,224,1
69,0.711600,208,1
70,0.706300,388,1
71,0.706300,357,1
72,0.706300,230,1
73,0.706300,384,1
74,0.706300,571,1
75,0.706300,382,1
76,0.706300,567,1
77,0.709100,416,1
78,0.709100,416,1
79,0.706300,563,1
80,0.706300,221,1
81,0.706300,227,1
82,0.706300,241,1
83,0.706300,239,1
84,0.706300,374,1
85,0.706300,434,1
86,0.706300,213,1
87,0.706300,382,1
88,0.706300,248,1
89,0.706300,577,1
90,0.706300,349,1
91,0.706300,171,1
92,0.706300,222,1
93,0.706300,434,1
94,0.706300,563,1
95,0.716000,354,1
96,0.716000,350,1
97,0.706300,243,1
98,0.706300,224,1
99,0.706300,369,1
