index,fitness,size,has_meta
0,0.716000,339,1
1,0.706300,213,1
2,0.706300,201,1
3,0.716000,335,1
4,0.706300,241,1
5,0.706300,179,1
6,0.706300,181,1
7,0.704700,166,1
8,0.706300,172,1
9,0.706300,172,1
10,0.709100,553,1
11,0.709100,591,1
12,0.709100,438,1
13,0.706300,135,1
14,0.706300,174,1
15,0.711600,177,1
16,0.706300,205,1
17,0.706300,135,1
18,0.706300,174,1
19,0.709400,160,1
20,0.709100,442,1
21,0.706300,171,1
22,0.706300,186,1
23,0.711600,161,1
24,0.706300,171,1
25,0.706300,174,1
26,0.706300,186,1
27,0.706300,224,1
28,0.706300,298,1
29,0.706300,177,1
30,0.706300,132,1
31,0.706300,308,1
32,0.716000,337,1
33,0.706300,384,1
34,0.706300,295,1
35,0.709100,552,1
36,0.706300,300,1
37,0.706300,265,1
38,0.704100,316,1
39,0.709100,553,1
40,0.716000,343,1
41,0.706300,296,1
42,0.706300,190,1
43,0.706300,308,1
44,0.709100,438,1
45,0.706300,176,1
46,0.706300,175,1
47,0.706300,175,1
48,0.706300,173,1
49,0.706300,186,1
50,0.716000,335,1
51,0.706300,201,1
52,0.711600,179,1
53,0.706300,218,1
54,0.716000,332,1
55,0.706300,383,1
56,0.706300,220,1
57,0.706300,297,1
58,0.711600,311,1
59,0.706300,243,1
60,0.706300,213,1
61,0.706300,189,1
62,0.706300,181,1
63,0.706300,185,1
64,0.706300,161,1
65,0.704700,199,1
66,0.706300,219,1
67,0.716000,338,1
68,0.706300,175,1
69,0.706300,135,1
70,0.709400,160,1
71,0.711600,175,1
72,0.706300,243,1
73,0.706300,135,1
74,0.706300,176,1
75,0.706300,128,1
76,0.706300,195,1
77,0.706300,281,1
78,0.706300,136,1
79,0.706300,174,1
80,0.706300,224,1
81,0.706300,169,1
82,0.706300,175,1
83,0.706300,305,1
84,0.706300,295,1
85,0.706300,371,1
86,0.709400,161,1
87,0.706300,175,1
88,0.706300,135,1
89,0.706300,136,1
90,0.709400,161,1
91,0.709100,559,1
92,0.709100,445,1
93,0.716000,541,1
94,0.716000,335,1
95,0.716000,337,1
96,0.711600,179,1
97,0.706300,175,1
98,0.706300,179,1
99,0.716000,336,1
